component,formula,descriptor: R1e+,descriptor: MATS1m,descriptor: X1sol,descriptor: Me,descriptor: ESpm02d,experiment: Tboil /K
Ethylamine,C2H7N,0.251,-0.25,1.414,0.98,1.151,289.75
Fluoroethane,C2H5F,0.196,-0.25,1,1.02,1.664,236.05
Fluoromethane,CH3F,0.037,-1,0,1.06,1.188,195.05
Hexachloroethane,C2Cl6,0.106,-0.429,4.75,1.2,3.372,458
1-Fluoropropane,C3H7F,0.174,-0.111,1.414,1,1.985,270.65
Hexafluoroethane,C2F6,0.172,-0.429,1,1.34,3.655,194.95
Hexafluoropropylene,C3F6,0.223,-0.25,1.414,1.3,3.667,243.75
"Methyl 1,1,2,2-tetrafluoroethyl ether",C3H4F4O,0.212,-0.435,1.914,1.16,3.453,309.65
Methyl pentafluoroethyl ether,C3H3F5O,0.209,-0.441,1.914,1.2,3.686,278.75
Methylamine,CH5N,0.294,-1,1,0.98,0.148,266.45
Octafluorocyclobutane,C4F8,0.165,0,2,1.3,4.208,267.15
Pentachloroethane,C2HCl5,0.121,-0.417,4.271,1.16,3.176,433.03
Pentafluorodimethyl ether,C2HF5O,0.202,-0.697,1.414,1.28,3.523,231.15
Pentafluoroethane,C2HF5,0.183,-0.417,1,1.28,3.414,225.05
Pentane,C5H12,0.138,1,2.414,0.96,1.946,309.35
Propane,C3H8,0.157,1,1.414,0.96,1.099,231.05
Propylene,C3H6,0.197,1,1.414,0.96,1.242,225.45
Tetrafluoroethylene,C2F4,0.173,-0.4,1,1.3,3.097,197.25
Tetrafluoromethane,CF4,0,-1,0,1.36,3.097,145.15
Trichloromethane,CHCl3,0.07,-1,2.598,1.15,2.205,334.35
"2,2,3-trichloro-1,1,1-trifluoropropane ",C3H2Cl3F3,0.169,-0.133,3.414,1.19,3.668,377.8
"Trifluoromethyl 1,2,2,2-tetrafluoroethyl ether",C3HF7O,0.204,-0.451,1.914,1.29,3.921,263.55
"1,1,3-Trifluoropropane",C3H5F3,0.197,-0.2,1.414,1.1,2.881,265.41
"Trifluoromethyl 1,1,2,2-tetrafluoroethyl ether",C3HF7O,0.202,-0.451,1.914,1.29,3.921,270.15
"1,1,1,2,2,3,3-Heptafluorobutane",C4H3F7 ,0.172,-0.175,1.914,1.21,3.97,288.25
"1,1,1,2,3-Pentafluoropropane",C3H3F5,0.193,-0.238,1.414,1.19,3.478,295.85
"1,1,1,3,3,3-Hexafluoropropane",C3H2F6,0.182,-0.25,1.414,1.24,3.706,271.75
"1,1,1-Trichloro-2,2-difluoroethane",C2HCl3F2,0.163,-0.232,2.75,1.21,3.244,346.15
"1,1,2,2,3,3,3-Heptafluoropropane",C3HF7,0.185,-0.259,1.414,1.28,3.849,256.15
"1,1,2,2-Tetrafluoroethane",C2H2F4,0.179,-0.4,1,1.21,3.097,253.35
"1,1-Dichloro-2-fluoroethane",C2H3Cl2F,0.191,-0.256,2.309,1.1,2.65,305
"1,2-Dichloro-1,1-difluoro ethane",C2H2Cl2F2,0.179,-0.213,2.621,1.17,3.196,319.95
"1,2-Dichloroethane",C2H4Cl2,0.15,-0.333,2.621,1.04,2.289,356.65
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane",C3HCl2F5,0.173,-0.11,3.121,1.25,3.856,325.15
"2,3-Dichloro-1,1,1,2,3-pentafluoropropane",C3HCl2F5,0.172,-0.11,2.912,1.25,3.856,325.05
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane",C3HCl2F5,0.177,-0.11,2.847,1.25,3.813,318.65
"3-Chloro-1,1,2,2-tetrafluoropropane",C3H3ClF4,0.18,-0.114,2.268,1.17,3.483,327.95
Bromochlorodifluoromethane,CBrClF2,0.053,-0.183,2.475,1.27,3.099,269.45
"1-Chloro-1,1-difluoroethane",C2H3ClF2,0.18,-0.191,1.768,1.12,2.995,264.05
Chloropentafluoroethane,C2ClF5,0.172,-0.166,1.768,1.32,3.659,234.25
"1-(Difluoromethoxy)-1,1,2-trifluoroethane",C3H3F5O ,0.198,-0.441,1.914,1.2,3.58,316.25
Ethylene,C2H4,0.152,1,1,0.96,0,163.75
Isopentane,C5H12,0.143,1,2.27,0.96,2.197,301.03
Trifluoro(methoxy)methane,C2H3F3O,0.209,-0.693,1.414,1.17,3.149,249.35
"1,1,1,2,2-Pentachloro-2-fluoroethane",C2Cl5F,0.151,-0.317,4.271,1.22,3.473,411.15
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane",C4H3F7O,0.172,-0.324,2.414,1.22,4.033,307.38
4-Methylheptane,C8H18,0.122,1,3.808,0.96,2.708,390.87
1-Ethyl-4-methylbenzene,C9H12,0.156,1,4.326,0.97,3.175,434.25
3-Pentanone,C5H10O,0.146,-0.04,2.808,0.98,2.873,374.85
3-Methylpentane,C6H14,0.134,1,2.808,0.96,2.398,336.42
3-Methylhexane,C7H16,0.126,1,3.308,0.96,2.565,365.15
3-Methyl-1-pentene,C6H12,0.173,1,2.808,0.96,2.439,327.35
1-Ethyl-3-methylbenzene,C9H12,0.155,1,4.326,0.97,3.175,434.45
3-Chloro-1-propene,C3H5Cl,0.187,-0.111,2.268,1,2.066,318.25
"1,2-Dichloro-4-methylbenzene",C7H6Cl2,0.231,0,4.776,1.01,3.412,482.05
2-Propanethiol,C3H8S,0.258,-0.111,2.021,0.97,2.754,325.75
2-Methylpentane,C6H14,0.137,1,2.77,0.96,2.398,333.41
2-Methylhexane,C7H16,0.133,1,3.27,0.96,2.565,363.19
2-Methyl-2-butene,C5H10,0.169,1,2.27,0.96,2.341,311.71
2-Methyl-1-pentene,C6H12,0.165,1,2.77,0.96,2.479,335.25
2-Methyl-1-butene,C5H10,0.169,1,2.27,0.96,2.295,304.35
2-Methyl-1-Butanol,C5H12O,0.255,-0.04,2.808,0.98,2.463,400.65
2-Hexanone,C6H12O,0.131,-0.028,3.27,0.98,2.98,400.75
1-Chloro-2-methylbenzene,C7H7Cl,0.235,0,4.093,0.99,3.174,432.15
2-Butanone,C4H8O,0.156,-0.062,2.27,0.99,2.753,352.74
2-Butanol,C4H10O,0.36,-0.062,2.27,0.98,2.276,372.66
2-Butanethiol,C4H10S,0.251,-0.063,2.559,0.97,2.874,358.15
"2,4-Dimethylpentane",C7H16,0.129,1,3.126,0.96,2.708,353.64
"2,4,4-Trimethyl-2-Pentene",C8H16,0.131,1,3.417,0.96,3.108,378.05
"2,4,4-Trimethyl-1-Pentene",C8H16,0.12,1,3.417,0.96,3.088,374.55
"2,3-Dimethylpentane",C7H16,0.13,1,3.181,0.96,2.708,362.93
"2,3-Dimethylbutane",C6H14,0.119,1,2.643,0.96,2.565,331.08
"2,2-Dimethylpropane",C5H12,0.131,1,2,0.96,2.565,282.63
"2,2-Dimethylpentane",C7H16,0.123,1,3.061,0.96,2.833,352.35
"2,2-Dimethylbutane",C6H14,0.128,1,2.561,0.96,2.708,322.88
"2,2,3-Trimethylbutane",C7H16,0.122,1,2.943,0.96,2.944,354.01
"1,1-Dichloroethylene",C2H2Cl2,0.136,-0.333,2.309,1.07,2.291,310.15
"1,2-Butadiene",C4H6,0.224,1,1.914,0.97,2.093,284.05
"1,2-Dibromoethane",C2H4Br2,0.15,-0.333,3.328,1.01,2.239,404.75
"1,3-Butadiene",C4H6,0.158,1,1.914,0.97,1.609,268.74
"1,4-Pentadiene",C5H8,0.161,1,2.414,0.96,2.07,299.15
1-Butene,C4H8,0.182,1,1.914,0.96,1.698,266.89
1-Chloropropane,C3H7Cl,0.151,-0.111,2.268,0.99,2.006,319.65
1-Heptene,C7H14,0.151,1,3.414,0.96,2.439,366.79
1-Hexanol,C6H14O,0.199,-0.028,3.414,0.98,2.463,430.75
1-Hexene,C6H12,0.16,1,2.914,0.96,2.247,336.63
Nonanal,C9H18O,0.133,-0.012,4.914,0.97,3.145,464.15
Acetaldehyde,C2H4O,0.238,-0.25,1.414,1.01,2.222,293.25
Acetone,C3H6O,0.174,-0.111,1.732,1,2.616,329.2
"N,N-Diethylformamide",C5H11NO,0.214,-0.328,3.346,0.99,2.957,450.65
Butyl Acetate,C6H12O2,0.151,-0.238,3.77,1,3.122,399.25
1-Butylamine,C4H11N,0.203,-0.062,2.414,0.97,1.969,350.15
Butyraldehyde,C4H8O,0.218,-0.062,2.414,0.99,2.582,347.95
Decane,C10H22,0.089,1,4.914,0.96,2.833,447.3
Heptane,C7H16,0.116,1,3.414,0.96,2.398,371.55
"1,1,1,2-Tetrachloro-2,2-difluoroethane",C2Cl4F2 ,0.182,-0.245,3.664,1.25,3.528,364.65
"1,1,1-Trichloro-2,2,3,3,3-pentafluoropropane",C3Cl3F5,0.208,-0.114,3.311,1.28,3.921,347.15
"1,1,2,2-Tetrachloro-1,2-difluoroethane",C2Cl4F2,0.16,-0.245,3.797,1.25,3.564,365.95
"1,1,2,2-Tetrachloro-1-fluoroethane",C2HCl4F,0.209,-0.303,3.797,1.22,3.314,389.75
"1,1,2-Trichloro-1,2-difluoroethane",C2HCl3F2,0.24,-0.232,3.201,1.24,3.379,345.65
"1,2,2,3-Tetrachloro-1,1,3,3-tetrafluoropropane",C3Cl4F4,0.208,-0.129,4.328,1.26,3.987,385.15
"1,1,1-Trichloroethane",C2H3Cl3,0.129,-0.375,2.75,1.08,2.712,346.95
"1,2-Dichloro-2-fluoropropane",C3H5Cl2F,0.143,-0.146,2.912,1.06,3.098,361.75
"1,2-Difluoroethane",C2H4F2,0.184,-0.333,1,1.08,2.258,283.65
"1-Chloro-1,2,2-Trifluoroethane",C2H2ClF3,0.178,-0.179,1.768,1.19,3.103,290.15
"2-Chloro-1,1,1-Trifluoroethane",C2H2ClF3,0.183,-0.179,1.768,1.19,3.189,279.3
"1-Chloro-2,2-difluoropropane",C3H5ClF2,0.144,-0.113,2.268,1.08,3.091,328.15
"2,3,3,3-Tetrafluoropropene",C3H2F4,0.227,-0.222,1.414,1.19,3.353,244.85
Bromotrifluoromethane,CBrF3,0.048,-0.124,2,1.31,3.092,215.45
Chloroethane,C2H5Cl,0.153,-0.25,1.768,1,1.693,285.35
Chloroethylene,C2H3Cl,0.15,-0.25,1.768,1.02,1.693,259.25
"Difluoromethyl 2,2,2-trifluoroethyl ether",C3H3F5O,0.205,-0.441,1.914,1.2,3.58,302.35
Isobutane,C4H10,0.151,1,1.732,0.96,1.946,261.55
Octafluoropropane,C3F8,0.176,-0.267,1.414,1.33,4.012,236.55
Trichloroethylene,C2HCl3,0.128,-0.375,3.201,1.12,2.661,360.36
"1,1,2-Trichloro-2,2-difluoroethane",C2HCl3F2,0.177,-0.232,3.201,1.21,3.363,345.05
"1,2,2,2-Tetrafluoroethyl difluoromethyl ether",C3H2F6O,0.205,-0.446,1.914,1.24,3.741,296.45
"1,2-Dichloro-1,1,2,3,3,3-hexafluoropropane",C3Cl2F6,0.17,-0.106,2.912,1.3,4.017,307.25
"2-Chloro-1,1,1,3,3,3-hexafluoropropane",C3HClF6,0.182,-0.114,2.021,1.27,3.853,287.25
Chlorofluoromethane,CH2ClF,0.071,-0.533,1.5,1.12,2.043,264.05
Tetradecafluorohexane,C6F14,0.143,-0.123,2.914,1.32,4.653,330.29
Trichloro(fluoro)methane,CCl3F,0.041,-0.596,2.598,1.25,2.853,296.85
Trifluoromethane,CHF3,0.041,-1,0,1.26,2.628,191.05
3-Methyl-1-Butene,C5H10,0.179,1,2.27,0.96,2.247,293.25
1-Ethyl-2-methylbenzene,C9H12,0.159,1,4.343,0.97,3.175,438.35
2-Chloropropane,C3H7Cl,0.156,-0.111,2.021,0.99,2.244,308.85
"2,4-Dichloro-1-methylbenzene",C7H6Cl2,0.229,0,4.776,1.01,3.412,474.15
"2,2,4-Trimethylpentane",C8H18,0.117,1,3.417,0.96,3.045,372.37
"1,2-Dichloropropane",C3H6Cl2,0.149,-0.167,2.912,1.02,2.63,369.55
1-Chlorobutane,C4H9Cl,0.141,-0.062,2.768,0.98,2.244,351.55
Octane,C8H18,0.103,1,3.914,0.96,2.565,398.82
Propyl Acetate,C5H10O2,0.146,-0.3,3.27,1,3.03,374.45
